證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,日期
00660,元大歐洲50      ,0,"28,000","-28,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-28,000",2018-01-02
00660,元大歐洲50      ,0,"7,000","-7,000",0,0,0,0,0,0,"12,000",0,0,0,"40,000","28,000","12,000","5,000",2018-01-03
00660,元大歐洲50      ,"98,000",0,"98,000",0,0,0,0,0,0,"-104,000",0,0,0,0,"104,000","-104,000","-6,000",2018-01-04
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,"2,000","1,000","1,000","1,000",2018-01-05
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"10,000",0,0,0,"10,000",0,"10,000","10,000",2018-01-08
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"7,000",0,0,0,"7,000",0,"7,000","7,000",2018-01-09
00660,元大歐洲50      ,"16,000",0,"16,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"16,000",2018-01-10
00660,元大歐洲50      ,"50,000",0,"50,000",0,0,0,0,0,0,"-11,000",0,0,0,"40,000","51,000","-11,000","39,000",2018-01-11
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"-9,000",0,0,0,"11,000","20,000","-9,000","-9,000",2018-01-12
00660,元大歐洲50      ,0,"5,000","-5,000",0,0,0,0,0,0,"-2,000",0,0,0,0,"2,000","-2,000","-7,000",2018-01-15
00660,元大歐洲50      ,0,"3,000","-3,000",0,0,0,0,0,0,"8,000",0,0,0,"9,000","1,000","8,000","5,000",2018-01-16
00660,元大歐洲50      ,0,"29,000","-29,000",0,0,0,0,0,0,"31,000",0,0,0,"31,000",0,"31,000","2,000",2018-01-17
00660,元大歐洲50      ,"17,000",0,"17,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"17,000",2018-01-18
00660,元大歐洲50      ,0,"11,000","-11,000",0,0,0,0,0,0,"-6,000",0,0,0,0,"6,000","-6,000","-17,000",2018-01-19
00660,元大歐洲50      ,"2,000",0,"2,000",0,0,0,0,0,0,"-13,000",0,0,0,"20,000","33,000","-13,000","-11,000",2018-01-22
00660,元大歐洲50      ,"5,000",0,"5,000",0,0,0,0,0,0,"-3,000",0,0,0,0,"3,000","-3,000","2,000",2018-01-23
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"3,000",0,0,0,"5,000","2,000","3,000","3,000",2018-01-24
00660,元大歐洲50      ,"6,000",0,"6,000",0,0,0,0,0,0,"-2,000",0,0,0,0,"2,000","-2,000","4,000",2018-01-25
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"-2,000",0,0,0,"1,000","3,000","-2,000","-2,000",2018-01-26
00660,元大歐洲50      ,"111,000",0,"111,000",0,0,0,0,0,0,"-72,000",0,0,0,0,"72,000","-72,000","39,000",2018-01-29
00660,元大歐洲50      ,0,"20,000","-20,000",0,0,0,0,0,0,"-4,000",0,0,0,"9,000","13,000","-4,000","-24,000",2018-01-30
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"9,000",0,0,0,"10,000","1,000","9,000","9,000",2018-01-31
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"6,000",0,0,0,"6,000",0,"6,000","6,000",2018-02-01
00660,元大歐洲50      ,0,"70,000","-70,000",0,0,0,0,0,0,"30,000",0,0,0,"40,000","10,000","30,000","-40,000",2018-02-02
00660,元大歐洲50      ,0,"124,000","-124,000",0,0,0,0,0,0,"81,000",0,0,0,"81,000",0,"81,000","-43,000",2018-02-05
00660,元大歐洲50      ,"8,000","87,000","-79,000",0,0,0,0,0,0,"42,000",0,0,0,"135,000","93,000","42,000","-37,000",2018-02-06
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"-55,000",0,0,0,"2,000","57,000","-55,000","-55,000",2018-02-07
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"-16,000",0,0,0,"11,000","27,000","-16,000","-16,000",2018-02-08
00660,元大歐洲50      ,"4,000",0,"4,000",0,0,0,0,0,0,"-8,000",0,0,0,"18,000","26,000","-8,000","-4,000",2018-02-09
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"-14,000",0,0,0,0,"14,000","-14,000","-14,000",2018-02-12
00660,元大歐洲50      ,0,"4,000","-4,000",0,0,0,0,0,0,"-15,000",0,0,0,"4,000","19,000","-15,000","-19,000",2018-02-21
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"-13,000",0,0,0,0,"13,000","-13,000","-13,000",2018-02-22
00660,元大歐洲50      ,"59,000",0,"59,000",0,0,0,0,0,0,"-62,000",0,0,0,0,"62,000","-62,000","-3,000",2018-02-23
00660,元大歐洲50      ,"82,000",0,"82,000",0,0,0,0,0,0,"-98,000",0,0,0,"5,000","103,000","-98,000","-16,000",2018-02-26
00660,元大歐洲50      ,"150,000",0,"150,000",0,0,0,0,0,0,"-152,000",0,0,0,0,"152,000","-152,000","-2,000",2018-02-27
00660,元大歐洲50      ,0,"2,000","-2,000",0,0,0,0,0,0,"-16,000",0,0,0,0,"16,000","-16,000","-18,000",2018-03-01
00660,元大歐洲50      ,0,"97,000","-97,000",0,0,0,0,0,0,"92,000",0,0,0,"94,000","2,000","92,000","-5,000",2018-03-02
00660,元大歐洲50      ,"59,000",0,"59,000",0,0,0,0,0,0,"-96,000",0,0,0,0,"96,000","-96,000","-37,000",2018-03-05
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"-20,000",0,0,0,0,"20,000","-20,000","-20,000",2018-03-06
00660,元大歐洲50      ,"30,000","10,000","20,000",0,0,0,0,0,0,"-45,000",0,0,0,0,"45,000","-45,000","-25,000",2018-03-07
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"3,000",0,0,0,"4,000","1,000","3,000","3,000",2018-03-08
00660,元大歐洲50      ,"2,000",0,"2,000",0,0,0,0,0,0,"4,000",0,0,0,"6,000","2,000","4,000","6,000",2018-03-09
00660,元大歐洲50      ,"48,000",0,"48,000",0,0,0,0,0,0,"-50,000",0,0,0,"6,000","56,000","-50,000","-2,000",2018-03-12
00660,元大歐洲50      ,"11,000",0,"11,000",0,0,0,0,0,0,"8,000",0,0,0,"10,000","2,000","8,000","19,000",2018-03-13
00660,元大歐洲50      ,0,"15,000","-15,000",0,0,0,0,0,0,"23,000",0,0,0,"23,000",0,"23,000","8,000",2018-03-14
00660,元大歐洲50      ,"6,000",0,"6,000",0,0,0,0,0,0,"13,000",0,0,0,"13,000",0,"13,000","19,000",2018-03-15
00660,元大歐洲50      ,"48,000",0,"48,000",0,0,0,0,0,0,"-7,000",0,0,0,"3,000","10,000","-7,000","41,000",2018-03-16
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"18,000",0,0,0,"18,000",0,"18,000","18,000",2018-03-19
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"-2,000",0,0,0,0,"2,000","-2,000","-2,000",2018-03-20
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"-2,000",0,0,0,0,"2,000","-2,000","-2,000",2018-03-21
00660,元大歐洲50      ,0,"48,000","-48,000",0,0,0,0,0,0,"33,000",0,0,0,"35,000","2,000","33,000","-15,000",2018-03-22
00660,元大歐洲50      ,0,"11,000","-11,000",0,0,0,0,0,0,"-7,000",0,0,0,"1,000","8,000","-7,000","-18,000",2018-03-23
00660,元大歐洲50      ,0,"154,000","-154,000",0,0,0,0,0,0,"121,000",0,0,0,"155,000","34,000","121,000","-33,000",2018-03-26
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"-3,000",0,0,0,0,"3,000","-3,000","-3,000",2018-03-27
00660,元大歐洲50      ,0,"23,000","-23,000",0,0,0,0,0,0,"-4,000",0,0,0,"1,000","5,000","-4,000","-27,000",2018-03-28
00660,元大歐洲50      ,"2,000",0,"2,000",0,0,0,0,0,0,"1,000",0,0,0,"2,000","1,000","1,000","3,000",2018-03-29
00660,元大歐洲50      ,"1,000",0,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000",2018-03-30
00660,元大歐洲50      ,"9,000",0,"9,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"9,000",2018-04-02
00660,元大歐洲50      ,0,"122,000","-122,000",0,0,0,0,0,0,"117,000",0,0,0,"120,000","3,000","117,000","-5,000",2018-04-03
00660,元大歐洲50      ,"82,000",0,"82,000",0,0,0,0,0,0,"-62,000",0,0,0,0,"62,000","-62,000","20,000",2018-04-09
00660,元大歐洲50      ,"4,000",0,"4,000",0,0,0,0,0,0,"-4,000",0,0,0,0,"4,000","-4,000",0,2018-04-10
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"-3,000",0,0,0,0,"3,000","-3,000","-3,000",2018-04-11
00660,元大歐洲50      ,0,"9,000","-9,000",0,0,0,0,0,0,"61,000",0,0,0,"61,000",0,"61,000","52,000",2018-04-12
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"3,000",0,0,0,"4,000","1,000","3,000","3,000",2018-04-13
00660,元大歐洲50      ,"5,000",0,"5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"5,000",2018-04-16
00660,元大歐洲50      ,"3,000",0,"3,000",0,0,0,0,0,0,"-2,000",0,0,0,"2,000","4,000","-2,000","1,000",2018-04-17
00660,元大歐洲50      ,"5,000",0,"5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"5,000",2018-04-18
00660,元大歐洲50      ,"42,000",0,"42,000",0,0,0,0,0,0,"1,000",0,0,0,"1,000",0,"1,000","43,000",2018-04-19
00660,元大歐洲50      ,"2,000",0,"2,000",0,0,0,0,0,0,"1,000",0,0,0,"2,000","1,000","1,000","3,000",2018-04-20
00660,元大歐洲50      ,"7,000",0,"7,000",0,0,0,0,0,0,"1,000",0,0,0,"1,000",0,"1,000","8,000",2018-04-23
00660,元大歐洲50      ,"16,000",0,"16,000",0,0,0,0,0,0,"1,000",0,0,0,"1,000",0,"1,000","17,000",2018-04-24
00660,元大歐洲50      ,"1,000",0,"1,000",0,0,0,0,0,0,"3,000",0,0,0,"4,000","1,000","3,000","4,000",2018-04-25
00660,元大歐洲50      ,"83,000",0,"83,000",0,0,0,0,0,0,"6,000",0,0,0,"7,000","1,000","6,000","89,000",2018-04-26
00660,元大歐洲50      ,"104,000",0,"104,000",0,0,0,0,0,0,"47,000",0,0,0,"50,000","3,000","47,000","151,000",2018-04-27
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,"1,000",0,"1,000","1,000",2018-05-02
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"22,000",0,0,0,"22,000",0,"22,000","22,000",2018-05-03
00660,元大歐洲50      ,"1,000",0,"1,000",0,0,0,0,0,0,"-3,000",0,0,0,0,"3,000","-3,000","-2,000",2018-05-04
00660,元大歐洲50      ,"21,000",0,"21,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"21,000",2018-05-07
00660,元大歐洲50      ,0,"5,000","-5,000",0,0,0,0,0,0,"-4,000",0,0,0,"6,000","10,000","-4,000","-9,000",2018-05-08
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"10,000",0,0,0,"10,000",0,"10,000","10,000",2018-05-09
00660,元大歐洲50      ,"40,000",0,"40,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"40,000",2018-05-10
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"77,000",0,0,0,"77,000",0,"77,000","77,000",2018-05-11
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"124,000",0,0,0,"124,000",0,"124,000","124,000",2018-05-14
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"314,000",0,0,0,"315,000","1,000","314,000","314,000",2018-05-15
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"-2,000",0,0,0,"1,000","3,000","-2,000","-2,000",2018-05-16
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000","1,000",0,0,2018-05-17
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"17,000",0,0,0,"17,000",0,"17,000","17,000",2018-05-18
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"2,000",0,0,0,"2,000",0,"2,000","2,000",2018-05-21
00660,元大歐洲50      ,"2,000",0,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000",2018-05-22
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"-1,000",0,0,0,"2,000","3,000","-1,000","-1,000",2018-05-24
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"3,000",0,0,0,"4,000","1,000","3,000","3,000",2018-05-29
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"-2,000",0,0,0,0,"2,000","-2,000","-2,000",2018-05-30
00660,元大歐洲50      ,"1,000",0,"1,000",0,0,0,0,0,0,"4,000",0,0,0,"4,000",0,"4,000","5,000",2018-05-31
00660,元大歐洲50      ,"2,000",0,"2,000",0,0,0,0,0,0,"-1,000",0,0,0,"1,000","2,000","-1,000","1,000",2018-06-01
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000","1,000",0,0,2018-06-07
00660,元大歐洲50      ,0,"3,000","-3,000",0,0,0,0,0,0,"-1,000",0,0,0,0,"1,000","-1,000","-4,000",2018-06-08
00660,元大歐洲50      ,0,"3,000","-3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-3,000",2018-06-11
00660,元大歐洲50      ,0,"2,000","-2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-2,000",2018-06-13
00660,元大歐洲50      ,0,"1,000","-1,000",0,0,0,0,0,0,"283,000",0,0,0,"283,000",0,"283,000","282,000",2018-06-14
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"14,000",0,0,0,"14,000",0,"14,000","14,000",2018-06-15
00660,元大歐洲50      ,0,"3,000","-3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-3,000",2018-06-19
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"6,000",0,0,0,"9,000","3,000","6,000","6,000",2018-06-20
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"358,000",0,0,0,"364,000","6,000","358,000","358,000",2018-06-21
00660,元大歐洲50      ,0,"398,000","-398,000",0,0,0,0,0,0,"396,000",0,0,0,"397,000","1,000","396,000","-2,000",2018-06-22
00660,元大歐洲50      ,0,"1,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000",2018-06-25
00660,元大歐洲50      ,0,"1,000","-1,000",0,0,0,0,0,0,"-4,000",0,0,0,0,"4,000","-4,000","-5,000",2018-06-26
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"-1,000",0,0,0,0,"1,000","-1,000","-1,000",2018-06-27
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"3,000",0,0,0,"3,000",0,"3,000","3,000",2018-06-28
00660,元大歐洲50      ,0,"2,000","-2,000",0,0,0,0,0,0,"11,000",0,0,0,"11,000",0,"11,000","9,000",2018-06-29
00660,元大歐洲50      ,0,"2,000","-2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-2,000",2018-07-02
00660,元大歐洲50      ,0,"2,000","-2,000",0,0,0,0,0,0,"11,000",0,0,0,"11,000",0,"11,000","9,000",2018-07-03
00660,元大歐洲50      ,0,"2,000","-2,000",0,0,0,0,0,0,"2,000",0,0,0,"2,000",0,"2,000",0,2018-07-05
00660,元大歐洲50      ,0,"1,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000",2018-07-06
00660,元大歐洲50      ,"5,000",0,"5,000",0,0,0,0,0,0,"-1,000",0,0,0,0,"1,000","-1,000","4,000",2018-07-10
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"-7,000",0,0,0,0,"7,000","-7,000","-7,000",2018-07-11
00660,元大歐洲50      ,0,"5,000","-5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-5,000",2018-07-12
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"4,000",0,0,0,"4,000",0,"4,000","4,000",2018-07-16
00660,元大歐洲50      ,0,0,0,0,0,0,0,0,0,"-1,000",0,0,0,0,"1,000","-1,000","-1,000",2018-07-17
