證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,日期
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"50,000","50,000",0,"50,000",0,0,0,"50,000",2019-02-18
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"19,000","19,000",0,"19,000",0,0,0,"19,000",2019-02-19
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"33,000","33,000",0,"33,000",0,0,0,"33,000",2019-02-20
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"2,000","2,000",0,"2,000",0,0,0,"2,000",2019-03-11
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"10,000","10,000",0,"10,000",0,0,0,"10,000",2019-03-12
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"1,000",2019-03-13
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"19,000","19,000",0,"19,000",0,0,0,"19,000",2019-03-14
01009T,王道圓滿R1      ,"12,000",0,"12,000",0,0,0,0,0,0,"-5,000",0,"5,000","-5,000",0,0,0,"7,000",2019-03-15
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"61,000","66,000","5,000","61,000",0,0,0,"61,000",2019-03-18
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"42,000","42,000",0,"42,000",0,0,0,"42,000",2019-03-19
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"20,000","20,000",0,"20,000",0,0,0,"20,000",2019-03-21
01009T,王道圓滿R1      ,"60,000",0,"60,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"60,000",2019-03-28
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"43,000","43,000",0,"43,000",0,0,0,"43,000",2019-03-29
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"1,000",2019-04-01
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"20,000","20,000",0,"20,000",0,0,0,"20,000",2019-04-02
01009T,王道圓滿R1      ,0,"4,013","-4,013",0,0,0,0,0,0,"50,000","50,000",0,"50,000",0,0,0,"45,987",2019-04-03
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"45,000","45,000",0,"45,000",0,0,0,"45,000",2019-04-08
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"13,000","13,000",0,"13,000",0,0,0,"13,000",2019-04-09
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"12,000","12,000",0,"12,000",0,0,0,"12,000",2019-04-10
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"1,000",2019-04-11
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"45,000","45,000",0,"45,000",0,0,0,"45,000",2019-04-16
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"7,000","7,000",0,"7,000",0,0,0,"7,000",2019-04-17
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"50,000","50,000",0,"50,000",0,0,0,"50,000",2019-04-18
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"1,000",2019-04-19
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"35,000","35,000",0,"35,000",0,0,0,"35,000",2019-04-22
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"21,000","21,000",0,"21,000",0,0,0,"21,000",2019-04-23
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"52,000","52,000",0,"52,000",0,0,0,"52,000",2019-04-24
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"46,000","46,000",0,"46,000",0,0,0,"46,000",2019-04-25
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"21,000","21,000",0,"21,000",0,0,0,"21,000",2019-04-26
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"20,000","20,000",0,"20,000",0,0,0,"20,000",2019-04-29
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"20,000","20,000",0,"20,000",0,0,0,"20,000",2019-04-30
01009T,王道圓滿R1      ,0,0,0,0,0,0,0,0,0,"16,000","16,000",0,"16,000",0,0,0,"16,000",2019-05-02
01009T,王道圓滿R1      ,"88,000",0,"88,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"88,000",2019-05-22
01009T,王道圓滿R1      ,"4,000",0,"4,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,000",2019-05-24
01009T,王道圓滿R1      ,"8,000",0,"8,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"8,000",2019-05-29
01009T,王道圓滿R1      ,"4,000",0,"4,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,000",2019-05-31
01009T,王道圓滿R1      ,"4,000",0,"4,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,000",2019-06-04
01009T,王道圓滿R1      ,"4,000",0,"4,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,000",2019-06-05
01009T,王道圓滿R1      ,"12,000",0,"12,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"12,000",2019-06-13
01009T,王道圓滿R1      ,"4,000",0,"4,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,000",2019-06-19
01009T,王道圓滿R1      ,0,"52,000","-52,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-52,000",2019-06-21
01009T,王道圓滿R1      ,0,"12,000","-12,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-12,000",2019-06-24
