證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,日期,自營商買進股數,自營商賣出股數
01010T,京城樂富R1      ,0,0,0,0,0,0,0,0,0,"85,000","85,000",0,"85,000",0,0,0,"85,000",2018-12-05,,
01010T,京城樂富R1      ,"5,000",0,"5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"5,000",2018-12-06,,
01010T,京城樂富R1      ,0,0,0,0,0,0,0,0,0,"70,000","70,000",0,"70,000",0,0,0,"70,000",2018-12-07,,
01010T,京城樂富R1      ,"2,000",0,"2,000",0,0,0,0,0,0,"15,000","15,000",0,"15,000",0,0,0,"17,000",2018-12-10,,
01010T,京城樂富R1      ,"10,000",0,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"10,000",2018-12-11,,
01010T,京城樂富R1      ,"7,000",0,"7,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"7,000",2018-12-12,,
01010T,京城樂富R1      ,"5,000",0,"5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"5,000",2018-12-13,,
01010T,京城樂富R1      ,0,0,0,0,0,0,0,0,0,"25,000","25,000",0,"25,000",0,0,0,"25,000",2018-12-14,,
01010T,京城樂富R1      ,0,0,0,0,0,0,0,0,0,"15,000","15,000",0,"15,000",0,0,0,"15,000",2018-12-17,,
01010T,京城樂富R1      ,0,"5,000","-5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-5,000",2019-01-11,,
01010T,京城樂富R1      ,0,"5,000","-5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-5,000",2019-01-23,,
01010T,京城樂富R1      ,0,"5,000","-5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-5,000",2019-01-29,,
01010T,京城樂富R1      ,0,"1,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,000",2019-01-30,,
01010T,京城樂富R1      ,0,"5,000","-5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-5,000",2019-02-11,,
01010T,京城樂富R1      ,0,"3,000","-3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-3,000",2019-02-13,,
01010T,京城樂富R1      ,0,"2,000","-2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-2,000",2019-02-15,,
01010T,京城樂富R1      ,0,0,0,0,0,0,0,0,0,"627,000","627,000",0,"627,000",0,0,0,"627,000",2019-02-18,,
