證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,日期,自營商買進股數,自營商賣出股數
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-26,000",0,0,0,0,"26,000","-26,000","-26,000",2020-04-16,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-39,000",0,0,0,0,"39,000","-39,000","-39,000",2020-04-17,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-5,000",0,0,0,"20,000","25,000","-5,000","-5,000",2020-04-20,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-22,000",0,0,0,"38,000","60,000","-22,000","-22,000",2020-04-21,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"29,000",0,0,0,"69,000","40,000","29,000","29,000",2020-04-22,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-27,000",0,0,0,"15,000","42,000","-27,000","-27,000",2020-04-23,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-26,000",0,0,0,0,"26,000","-26,000","-26,000",2020-04-24,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-25,000",0,0,0,"60,000","85,000","-25,000","-25,000",2020-04-27,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-57,000",0,0,0,0,"57,000","-57,000","-57,000",2020-04-28,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-55,000",0,0,0,"10,000","65,000","-55,000","-55,000",2020-04-29,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-75,000",0,0,0,0,"75,000","-75,000","-75,000",2020-04-30,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-403,000",0,0,0,"50,000","453,000","-403,000","-403,000",2020-05-04,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-60,000",0,0,0,"5,000","65,000","-60,000","-60,000",2020-05-05,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-71,000",0,0,0,0,"71,000","-71,000","-71,000",2020-05-06,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-56,000",0,0,0,"5,000","61,000","-56,000","-56,000",2020-05-07,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-50,000",0,0,0,"10,000","60,000","-50,000","-50,000",2020-05-08,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"9,000",0,0,0,"40,000","31,000","9,000","9,000",2020-05-11,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"135,000",0,0,0,"145,000","10,000","135,000","135,000",2020-05-12,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-67,000",0,0,0,"15,000","82,000","-67,000","-67,000",2020-05-13,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-29,000",0,0,0,"93,000","122,000","-29,000","-29,000",2020-05-14,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"38,000",0,0,0,"121,000","83,000","38,000","38,000",2020-05-15,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"42,000",0,0,0,"1,044,000","1,002,000","42,000","42,000",2020-05-18,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-32,000",0,0,0,"15,000","47,000","-32,000","-32,000",2020-05-19,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"6,000",0,0,0,"36,000","30,000","6,000","6,000",2020-05-20,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"50,000",0,0,0,"70,000","20,000","50,000","50,000",2020-05-21,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"158,000",0,0,0,"228,000","70,000","158,000","158,000",2020-05-22,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-29,000",0,0,0,"36,000","65,000","-29,000","-29,000",2020-05-25,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-200,000",0,0,0,0,"200,000","-200,000","-200,000",2020-05-26,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-20,000",0,0,0,"5,000","25,000","-20,000","-20,000",2020-05-27,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-26,000",0,0,0,"20,000","46,000","-26,000","-26,000",2020-05-28,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"89,000",0,0,0,"119,000","30,000","89,000","89,000",2020-05-29,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-197,000",0,0,0,"25,000","222,000","-197,000","-197,000",2020-06-01,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"157,000",0,0,0,"244,000","87,000","157,000","157,000",2020-06-02,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-102,000",0,0,0,"10,000","112,000","-102,000","-102,000",2020-06-03,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-46,000",0,0,0,"24,000","70,000","-46,000","-46,000",2020-06-04,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-30,000",0,0,0,"15,000","45,000","-30,000","-30,000",2020-06-05,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-97,000",0,0,0,"23,000","120,000","-97,000","-97,000",2020-06-08,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-530,000",0,0,0,"20,000","550,000","-530,000","-530,000",2020-06-09,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-40,000",0,0,0,"25,000","65,000","-40,000","-40,000",2020-06-10,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-5,000",0,0,0,"40,000","45,000","-5,000","-5,000",2020-06-11,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"670,000",0,0,0,"670,000",0,"670,000","670,000",2020-06-12,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-10,000",0,0,0,0,"10,000","-10,000","-10,000",2020-06-18,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-50,000",0,0,0,0,"50,000","-50,000","-50,000",2020-06-19,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-30,000",0,0,0,0,"30,000","-30,000","-30,000",2020-06-22,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-50,000",0,0,0,0,"50,000","-50,000","-50,000",2020-06-24,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-51,000",0,0,0,0,"51,000","-51,000","-51,000",2020-06-29,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"2,000",0,0,0,"2,000",0,"2,000","2,000",2020-06-30,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-40,000",0,0,0,0,"40,000","-40,000","-40,000",2020-07-02,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-75,000",0,0,0,0,"75,000","-75,000","-75,000",2020-07-03,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-40,000",0,0,0,0,"40,000","-40,000","-40,000",2020-07-07,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-40,000",0,0,0,0,"40,000","-40,000","-40,000",2020-07-14,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-20,000",0,0,0,0,"20,000","-20,000","-20,000",2020-07-15,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-8,000",0,0,0,0,"8,000","-8,000","-8,000",2020-07-17,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-378,000",0,0,0,0,"378,000","-378,000","-378,000",2020-07-21,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-80,000",0,0,0,0,"80,000","-80,000","-80,000",2020-07-22,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"69,000",0,0,0,"70,000","1,000","69,000","69,000",2020-07-24,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-112,000",0,0,0,0,"112,000","-112,000","-112,000",2020-07-27,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"19,000",0,0,0,"75,000","56,000","19,000","19,000",2020-07-28,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-29,000",0,0,0,"1,000","30,000","-29,000","-29,000",2020-07-29,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-60,000",0,0,0,0,"60,000","-60,000","-60,000",2020-07-30,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-30,000",0,0,0,0,"30,000","-30,000","-30,000",2020-07-31,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"60,000",0,0,0,"60,000",0,"60,000","60,000",2020-08-03,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-35,000",0,0,0,0,"35,000","-35,000","-35,000",2020-08-06,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"20,000",0,0,0,"20,000",0,"20,000","20,000",2020-08-11,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"20,000",0,0,0,"20,000",0,"20,000","20,000",2020-08-12,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-51,000",0,0,0,0,"51,000","-51,000","-51,000",2020-08-14,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-60,000",0,0,0,0,"60,000","-60,000","-60,000",2020-08-17,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"60,000",0,0,0,"60,000",0,"60,000","60,000",2020-08-19,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"539,000",0,0,0,"550,000","11,000","539,000","539,000",2020-08-20,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"25,000",0,0,0,"26,000","1,000","25,000","25,000",2020-08-21,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,"1,000",0,"1,000","1,000",2020-08-24,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,"1,000",0,"1,000","1,000",2020-08-26,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-5,000",0,0,0,0,"5,000","-5,000","-5,000",2020-08-31,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-30,000",0,0,0,0,"30,000","-30,000","-30,000",2020-09-01,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-19,000",0,0,0,"6,000","25,000","-19,000","-19,000",2020-09-02,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-10,000",0,0,0,0,"10,000","-10,000","-10,000",2020-09-03,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"40,000",0,0,0,"40,000",0,"40,000","40,000",2020-09-04,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-5,000",0,0,0,0,"5,000","-5,000","-5,000",2020-09-08,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"24,000",0,0,0,"25,000","1,000","24,000","24,000",2020-09-09,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-45,000",0,0,0,0,"45,000","-45,000","-45,000",2020-09-10,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"5,000",0,0,0,"6,000","1,000","5,000","5,000",2020-09-11,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-40,000",0,0,0,0,"40,000","-40,000","-40,000",2020-09-14,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-5,000",0,0,0,0,"5,000","-5,000","-5,000",2020-09-15,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-125,000",0,0,0,0,"125,000","-125,000","-125,000",2020-09-16,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"-6,000",0,0,0,0,"6,000","-6,000","-6,000",2020-09-17,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"5,000",0,0,0,"5,000",0,"5,000","5,000",2020-09-21,,
02001R,富邦蘋果反一N   ,0,0,0,0,0,0,0,0,0,"21,000",0,0,0,"21,000",0,"21,000","21,000",2020-09-22,,
