證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,日期
02001S,策元大加權策略N ,0,0,0,0,0,0,0,0,0,"-257,000",0,0,0,0,"257,000","-257,000","-257,000",2022-12-05
02001S,策元大加權策略N ,0,0,0,0,0,0,0,0,0,"-116,000",0,0,0,"4,000","120,000","-116,000","-116,000",2022-12-06
02001S,策元大加權策略N ,0,0,0,0,0,0,0,0,0,"-136,000",0,0,0,"35,000","171,000","-136,000","-136,000",2022-12-07
02001S,策元大加權策略N ,0,0,0,0,0,0,0,0,0,"-138,000",0,0,0,"16,000","154,000","-138,000","-138,000",2022-12-08
02001S,策元大加權策略N ,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,"71,000","70,000","1,000","1,000",2022-12-09
02001S,策元大加權策略N ,0,0,0,0,0,0,0,0,0,"-36,000",0,0,0,"46,000","82,000","-36,000","-36,000",2022-12-12
02001S,策元大加權策略N ,0,0,0,0,0,0,0,0,0,"-82,000",0,0,0,"14,000","96,000","-82,000","-82,000",2022-12-13
02001S,策元大加權策略N ,0,0,0,0,0,0,0,0,0,"66,000",0,0,0,"116,000","50,000","66,000","66,000",2022-12-14
02001S,策元大加權策略N ,"1,000",0,"1,000",0,0,0,0,0,0,"-61,000",0,0,0,"39,000","100,000","-61,000","-60,000",2022-12-15
02001S,策元大加權策略N ,0,0,0,0,0,0,0,0,0,"-240,000",0,0,0,"12,000","252,000","-240,000","-240,000",2022-12-16
02001S,策元大加權策略N ,0,0,0,0,0,0,0,0,0,"-11,000",0,0,0,"7,000","18,000","-11,000","-11,000",2022-12-19
02001S,策元大加權策略N ,0,"1,000","-1,000",0,0,0,0,0,0,"-37,000",0,0,0,"17,000","54,000","-37,000","-38,000",2022-12-20
02001S,策元大加權策略N ,0,0,0,0,0,0,0,0,0,"3,000",0,0,0,"22,000","19,000","3,000","3,000",2022-12-21
02001S,策元大加權策略N ,0,0,0,0,0,0,0,0,0,"20,000",0,0,0,"21,000","1,000","20,000","20,000",2022-12-22
02001S,策元大加權策略N ,0,0,0,0,0,0,0,0,0,"-2,000",0,0,0,"3,000","5,000","-2,000","-2,000",2022-12-23
