證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,日期
03002P,台灣50富邦3C售10,0,0,0,0,0,0,0,0,0,"-4,000",0,0,0,0,"4,000","-4,000","-4,000",2018-08-24
03002P,台灣50富邦3C售10,0,0,0,0,0,0,0,0,0,"-20,000",0,0,0,"4,000","24,000","-20,000","-20,000",2018-08-27
03002P,台灣50富邦3C售10,0,0,0,0,0,0,0,0,0,"-96,000",0,0,0,0,"96,000","-96,000","-96,000",2018-08-28
03002P,台灣50富邦3C售10,0,0,0,0,0,0,0,0,0,"-113,000",0,0,0,"58,000","171,000","-113,000","-113,000",2018-08-29
03002P,台灣50富邦3C售10,0,0,0,0,0,0,0,0,0,"-44,000",0,0,0,"41,000","85,000","-44,000","-44,000",2018-08-30
03002P,台灣50富邦3C售10,0,0,0,0,0,0,0,0,0,"15,000",0,0,0,"15,000",0,"15,000","15,000",2018-08-31
03002P,台灣50富邦3C售10,0,0,0,0,0,0,0,0,0,"-158,000",0,0,0,"2,000","160,000","-158,000","-158,000",2018-09-03
03002P,台灣50富邦3C售10,0,0,0,0,0,0,0,0,0,"37,000",0,0,0,"400,000","363,000","37,000","37,000",2018-09-04
03002P,台灣50富邦3C售10,0,0,0,0,0,0,0,0,0,"71,000",0,0,0,"371,000","300,000","71,000","71,000",2018-09-05
03002P,台灣50富邦3C售10,0,0,0,0,0,0,0,0,0,"117,000",0,0,0,"122,000","5,000","117,000","117,000",2018-09-06
03002P,台灣50富邦3C售10,0,0,0,0,0,0,0,0,0,"-12,000",0,0,0,"163,000","175,000","-12,000","-12,000",2018-09-07
03002P,台灣50富邦3C售10,0,0,0,0,0,0,0,0,0,"-54,000",0,0,0,"83,000","137,000","-54,000","-54,000",2018-09-10
03002P,台灣50富邦3C售10,0,0,0,0,0,0,0,0,0,"-86,000",0,0,0,"116,000","202,000","-86,000","-86,000",2018-09-11
03002P,台灣50富邦3C售10,0,0,0,0,0,0,0,0,0,"139,000",0,0,0,"200,000","61,000","139,000","139,000",2018-09-12
03002P,台灣50富邦3C售10,0,0,0,0,0,0,0,0,0,"-190,000",0,0,0,"10,000","200,000","-190,000","-190,000",2018-09-13
03002P,台灣50富邦3C售10,0,0,0,0,0,0,0,0,0,"288,000",0,0,0,"393,000","105,000","288,000","288,000",2018-09-14
03002P,台灣50富邦3C售10,0,0,0,0,0,0,0,0,0,"-158,000",0,0,0,"2,000","160,000","-158,000","-158,000",2018-09-17
03002P,台灣50富邦3C售10,0,0,0,0,0,0,0,0,0,"-367,000",0,0,0,"105,000","472,000","-367,000","-367,000",2018-09-18
03002P,台灣50富邦3C售10,0,0,0,0,0,0,0,0,0,"-533,000",0,0,0,"472,000","1,005,000","-533,000","-533,000",2018-09-19
03002P,台灣50富邦3C售10,0,0,0,0,0,0,0,0,0,"-35,000",0,0,0,"1,123,000","1,158,000","-35,000","-35,000",2018-09-20
