證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,日期
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"-12,000",0,0,0,0,"12,000","-12,000","-12,000",2024-06-05
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"-619,000",0,0,0,"7,000","626,000","-619,000","-619,000",2024-06-06
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"537,000",0,0,0,"550,000","13,000","537,000","537,000",2024-06-07
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"5,000",0,0,0,"19,000","14,000","5,000","5,000",2024-06-11
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"29,000",0,0,0,"64,000","35,000","29,000","29,000",2024-06-12
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"-136,000",0,0,0,"26,000","162,000","-136,000","-136,000",2024-06-13
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"-91,000",0,0,0,"43,000","134,000","-91,000","-91,000",2024-06-14
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"66,000",0,0,0,"135,000","69,000","66,000","66,000",2024-06-17
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"-145,000",0,0,0,"66,000","211,000","-145,000","-145,000",2024-06-18
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"-2,919,000",0,0,0,"212,000","3,131,000","-2,919,000","-2,919,000",2024-06-19
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"1,120,000",0,0,0,"2,125,000","1,005,000","1,120,000","1,120,000",2024-06-20
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"-240,000",0,0,0,"910,000","1,150,000","-240,000","-240,000",2024-06-21
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"1,092,000",0,0,0,"1,487,000","395,000","1,092,000","1,092,000",2024-06-24
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"-1,338,000",0,0,0,"726,000","2,064,000","-1,338,000","-1,338,000",2024-06-25
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"316,000",0,0,0,"1,341,000","1,025,000","316,000","316,000",2024-06-26
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"-1,715,000",0,0,0,"790,000","2,505,000","-1,715,000","-1,715,000",2024-06-27
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"1,620,000",0,0,0,"3,037,000","1,417,000","1,620,000","1,620,000",2024-06-28
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"-570,000",0,0,0,"1,110,000","1,680,000","-570,000","-570,000",2024-07-01
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"-191,000",0,0,0,"1,428,000","1,619,000","-191,000","-191,000",2024-07-02
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"-466,000",0,0,0,"1,127,000","1,593,000","-466,000","-466,000",2024-07-03
03646B,臺股指凱基3B熊44,0,0,0,0,0,0,0,0,0,"-1,341,000",0,0,0,"741,000","2,082,000","-1,341,000","-1,341,000",2024-07-04
