證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,日期
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-7,000",0,0,0,0,"7,000","-7,000","-7,000",2023-10-20
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-31,000",0,0,0,"7,000","38,000","-31,000","-31,000",2023-10-23
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"37,000",0,0,0,"37,000",0,"37,000","37,000",2023-10-24
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-11,000",0,0,0,"1,000","12,000","-11,000","-11,000",2023-10-25
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-26,000",0,0,0,"2,000","28,000","-26,000","-26,000",2023-10-26
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"28,000",0,0,0,"28,000",0,"28,000","28,000",2023-10-27
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-5,000",0,0,0,0,"5,000","-5,000","-5,000",2023-10-30
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-38,000",0,0,0,0,"38,000","-38,000","-38,000",2023-11-01
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-24,000",0,0,0,"38,000","62,000","-24,000","-24,000",2023-11-02
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-1,000",0,0,0,"7,000","8,000","-1,000","-1,000",2023-11-03
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"41,000",0,0,0,"51,000","10,000","41,000","41,000",2023-11-07
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"2,000",0,0,0,"10,000","8,000","2,000","2,000",2023-11-08
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,"1,000",0,"1,000","1,000",2023-11-09
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-11,000",0,0,0,0,"11,000","-11,000","-11,000",2023-11-10
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-5,000",0,0,0,0,"5,000","-5,000","-5,000",2023-11-13
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"6,000",0,0,0,"16,000","10,000","6,000","6,000",2023-11-15
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-5,000",0,0,0,0,"5,000","-5,000","-5,000",2023-11-16
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"5,000",0,0,0,"5,000",0,"5,000","5,000",2023-11-17
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-5,000",0,0,0,0,"5,000","-5,000","-5,000",2023-11-22
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-16,000",0,0,0,"4,000","20,000","-16,000","-16,000",2023-11-23
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-7,000",0,0,0,0,"7,000","-7,000","-7,000",2023-11-24
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"18,000",0,0,0,"23,000","5,000","18,000","18,000",2023-11-27
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-14,000",0,0,0,"1,000","15,000","-14,000","-14,000",2023-11-29
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"5,000",0,0,0,"11,000","6,000","5,000","5,000",2023-11-30
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"21,000",0,0,0,"26,000","5,000","21,000","21,000",2023-12-01
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-84,000",0,0,0,0,"84,000","-84,000","-84,000",2023-12-04
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-41,000",0,0,0,0,"41,000","-41,000","-41,000",2023-12-05
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"77,000",0,0,0,"81,000","4,000","77,000","77,000",2023-12-06
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-174,000",0,0,0,"7,000","181,000","-174,000","-174,000",2023-12-07
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-282,000",0,0,0,"100,000","382,000","-282,000","-282,000",2023-12-08
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-41,000",0,0,0,"11,000","52,000","-41,000","-41,000",2023-12-11
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-26,000",0,0,0,"16,000","42,000","-26,000","-26,000",2023-12-12
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,"17,000","16,000","1,000","1,000",2023-12-13
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"38,000",0,0,0,"61,000","23,000","38,000","38,000",2023-12-14
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-237,000",0,0,0,"13,000","250,000","-237,000","-237,000",2023-12-15
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-607,000",0,0,0,"45,000","652,000","-607,000","-607,000",2023-12-18
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"13,000",0,0,0,"50,000","37,000","13,000","13,000",2023-12-19
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-6,000",0,0,0,"12,000","18,000","-6,000","-6,000",2023-12-20
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-28,000",0,0,0,"50,000","78,000","-28,000","-28,000",2023-12-21
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-281,000",0,0,0,"43,000","324,000","-281,000","-281,000",2023-12-22
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-54,000",0,0,0,0,"54,000","-54,000","-54,000",2023-12-25
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"42,000",0,0,0,"112,000","70,000","42,000","42,000",2023-12-26
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-30,000",0,0,0,0,"30,000","-30,000","-30,000",2023-12-27
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"133,000",0,0,0,"142,000","9,000","133,000","133,000",2023-12-28
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-31,000",0,0,0,0,"31,000","-31,000","-31,000",2023-12-29
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"80,000",0,0,0,"131,000","51,000","80,000","80,000",2024-01-02
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-91,000",0,0,0,"14,000","105,000","-91,000","-91,000",2024-01-03
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"49,000",0,0,0,"75,000","26,000","49,000","49,000",2024-01-04
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-13,000",0,0,0,0,"13,000","-13,000","-13,000",2024-01-05
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"27,000",0,0,0,"35,000","8,000","27,000","27,000",2024-01-08
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-92,000",0,0,0,0,"92,000","-92,000","-92,000",2024-01-09
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"13,000",0,0,0,"17,000","4,000","13,000","13,000",2024-01-10
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-152,000",0,0,0,0,"152,000","-152,000","-152,000",2024-01-12
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-8,000",0,0,0,0,"8,000","-8,000","-8,000",2024-01-15
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-18,000",0,0,0,"10,000","28,000","-18,000","-18,000",2024-01-16
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-67,000",0,0,0,"43,000","110,000","-67,000","-67,000",2024-01-17
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-103,000",0,0,0,"24,000","127,000","-103,000","-103,000",2024-01-19
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-54,000",0,0,0,0,"54,000","-54,000","-54,000",2024-01-24
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-63,000",0,0,0,0,"63,000","-63,000","-63,000",2024-01-25
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"7,000",0,0,0,"10,000","3,000","7,000","7,000",2024-01-26
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"16,000",0,0,0,"17,000","1,000","16,000","16,000",2024-01-29
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"257,000",0,0,0,"262,000","5,000","257,000","257,000",2024-01-30
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-10,000",0,0,0,0,"10,000","-10,000","-10,000",2024-02-01
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,000","10,000",0,0,2024-02-02
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-87,000",0,0,0,0,"87,000","-87,000","-87,000",2024-02-05
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-58,000",0,0,0,"169,000","227,000","-58,000","-58,000",2024-02-15
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-17,000",0,0,0,"23,000","40,000","-17,000","-17,000",2024-02-16
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-152,000",0,0,0,"51,000","203,000","-152,000","-152,000",2024-02-19
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-98,000",0,0,0,"13,000","111,000","-98,000","-98,000",2024-02-20
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-18,000",0,0,0,"11,000","29,000","-18,000","-18,000",2024-02-21
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-107,000",0,0,0,0,"107,000","-107,000","-107,000",2024-02-22
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-20,000",0,0,0,"6,000","26,000","-20,000","-20,000",2024-02-23
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-31,000",0,0,0,"63,000","94,000","-31,000","-31,000",2024-02-26
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-6,000",0,0,0,0,"6,000","-6,000","-6,000",2024-02-27
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"9,000",0,0,0,"43,000","34,000","9,000","9,000",2024-02-29
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"126,000",0,0,0,"126,000",0,"126,000","126,000",2024-03-01
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"15,000",0,0,0,"25,000","10,000","15,000","15,000",2024-03-04
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-91,000",0,0,0,"20,000","111,000","-91,000","-91,000",2024-03-05
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"80,000",0,0,0,"121,000","41,000","80,000","80,000",2024-03-06
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"25,000",0,0,0,"55,000","30,000","25,000","25,000",2024-03-07
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"346,000",0,0,0,"352,000","6,000","346,000","346,000",2024-03-08
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"10,000",0,0,0,"10,000",0,"10,000","10,000",2024-03-11
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"26,000",0,0,0,"46,000","20,000","26,000","26,000",2024-03-12
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"13,000",0,0,0,"45,000","32,000","13,000","13,000",2024-03-13
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-51,000",0,0,0,"5,000","56,000","-51,000","-51,000",2024-03-14
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-186,000",0,0,0,0,"186,000","-186,000","-186,000",2024-03-15
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-81,000",0,0,0,"10,000","91,000","-81,000","-81,000",2024-03-18
03913C,元債2X凱基3A牛02,0,0,0,0,0,0,0,0,0,"-197,000",0,0,0,"58,000","255,000","-197,000","-197,000",2024-03-19
