證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,日期,自營商買進股數,自營商賣出股數
1101B,台泥乙特        ,"23,586",0,"23,586",0,0,0,0,0,0,"-5,840,000",0,"5,840,000","-5,840,000",0,0,0,"-5,816,414",2019-01-29,,
1101B,台泥乙特        ,0,"5,700","-5,700",0,0,0,0,0,0,"-389,480","2,000","391,480","-389,480",0,0,0,"-395,180",2019-01-30,,
1101B,台泥乙特        ,0,"4,003","-4,003",0,0,0,0,0,0,"-50,000",0,"50,000","-50,000",0,0,0,"-54,003",2019-02-11,,
1101B,台泥乙特        ,0,"6,250","-6,250",0,0,0,0,0,0,"-242,000",0,"242,000","-242,000",0,0,0,"-248,250",2019-02-12,,
1101B,台泥乙特        ,0,"1,046","-1,046",0,0,0,0,0,0,"-230,000",0,"230,000","-230,000",0,0,0,"-231,046",2019-02-13,,
1101B,台泥乙特        ,0,"255,188","-255,188",0,0,0,0,0,0,"-189,000",0,"189,000","-189,000",0,0,0,"-444,188",2019-02-14,,
1101B,台泥乙特        ,0,0,0,0,0,0,0,0,0,"180,000","200,000","20,000","180,000",0,0,0,"180,000",2019-02-15,,
1101B,台泥乙特        ,0,0,0,0,0,0,0,0,0,"-1,450,000",0,"1,450,000","-1,450,000",0,0,0,"-1,450,000",2019-02-18,,
1101B,台泥乙特        ,"2,000",0,"2,000",0,0,0,0,0,0,"-18,000","2,000","20,000","-18,000",0,0,0,"-16,000",2019-02-19,,
1101B,台泥乙特        ,0,0,0,0,0,0,0,0,0,"-32,000","18,000","50,000","-32,000",0,0,0,"-32,000",2019-02-20,,
1101B,台泥乙特        ,0,0,0,0,0,0,0,0,0,"-30,000","3,000","33,000","-30,000",0,0,0,"-30,000",2019-02-21,,
1101B,台泥乙特        ,0,0,0,0,0,0,0,0,0,"-24,000","7,000","31,000","-24,000",0,0,0,"-24,000",2019-02-22,,
1101B,台泥乙特        ,0,0,0,0,0,0,0,0,0,"27,000","27,000",0,"27,000",0,0,0,"27,000",2019-02-25,,
1101B,台泥乙特        ,"10,000",0,"10,000",0,0,0,0,0,0,"221,000","221,000",0,"221,000",0,0,0,"231,000",2019-02-26,,
1101B,台泥乙特        ,"4,000",0,"4,000",0,0,0,0,0,0,"24,000","24,000",0,"24,000",0,0,0,"28,000",2019-02-27,,
1101B,台泥乙特        ,"3,000",0,"3,000",0,0,0,0,0,0,"160,000","160,000",0,"160,000",0,0,0,"163,000",2019-03-04,,
1101B,台泥乙特        ,"10,000","14,273","-4,273",0,0,0,0,0,0,"3,000","3,000",0,"3,000",0,0,0,"-1,273",2019-03-05,,
1101B,台泥乙特        ,"5,000",0,"5,000",0,0,0,0,0,0,"5,000","5,000",0,"5,000",0,0,0,"10,000",2019-03-06,,
1101B,台泥乙特        ,"5,000",975,"4,025",0,0,0,0,0,0,"74,000","74,000",0,"74,000",0,0,0,"78,025",2019-03-07,,
1101B,台泥乙特        ,"2,000",0,"2,000",0,0,0,0,0,0,"86,000","86,000",0,"86,000",0,0,0,"88,000",2019-03-08,,
1101B,台泥乙特        ,"1,000",0,"1,000",0,0,0,0,0,0,"20,000","20,000",0,"20,000",0,0,0,"21,000",2019-03-11,,
1101B,台泥乙特        ,693,0,693,0,0,0,0,0,0,0,0,0,0,0,0,0,693,2019-03-13,,
