證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,日期,自營商買進股數,自營商賣出股數
3702A,大聯大甲特      ,0,0,0,0,0,0,0,0,0,"4,827,000","5,162,000","335,000","4,827,000",0,0,0,"4,827,000",2019-11-01,,
3702A,大聯大甲特      ,"3,000",0,"3,000",0,0,0,"300,000",0,"300,000","-57,000","1,148,000","1,205,000","-57,000",0,0,0,"246,000",2019-11-04,,
3702A,大聯大甲特      ,"4,000","44,000","-40,000",0,0,0,0,0,0,"153,000","923,000","770,000","153,000",0,0,0,"113,000",2019-11-05,,
3702A,大聯大甲特      ,0,0,0,0,0,0,0,0,0,"330,000","400,000","70,000","330,000",0,0,0,"330,000",2019-11-06,,
3702A,大聯大甲特      ,0,0,0,0,0,0,0,0,0,"110,000","180,000","70,000","110,000",0,0,0,"110,000",2019-11-07,,
3702A,大聯大甲特      ,0,0,0,0,0,0,"713,000",0,"713,000","-70,000",0,"70,000","-70,000",0,0,0,"643,000",2019-11-08,,
3702A,大聯大甲特      ,0,0,0,0,0,0,"300,000",0,"300,000","-636,000",0,"636,000","-636,000",0,0,0,"-336,000",2019-11-11,,
3702A,大聯大甲特      ,0,0,0,0,0,0,"1,680,000",0,"1,680,000","-120,000",0,"120,000","-120,000",0,0,0,"1,560,000",2019-11-13,,
3702A,大聯大甲特      ,0,0,0,0,0,0,0,0,0,"-70,000",0,"70,000","-70,000",0,0,0,"-70,000",2019-11-14,,
3702A,大聯大甲特      ,"2,000",0,"2,000",0,0,0,0,0,0,"10,000","80,000","70,000","10,000",0,0,0,"12,000",2019-11-15,,
3702A,大聯大甲特      ,"9,815",0,"9,815",0,0,0,0,0,0,"-100,000",0,"100,000","-100,000",0,0,0,"-90,185",2019-11-18,,
3702A,大聯大甲特      ,"2,000",0,"2,000",0,0,0,0,0,0,"-100,000",0,"100,000","-100,000",0,0,0,"-98,000",2019-11-19,,
3702A,大聯大甲特      ,0,571,-571,0,0,0,0,0,0,"100,000","200,000","100,000","100,000",0,0,0,"99,429",2019-11-20,,
3702A,大聯大甲特      ,"2,000",0,"2,000",0,0,0,0,0,0,"-100,000",0,"100,000","-100,000",0,0,0,"-98,000",2019-11-21,,
3702A,大聯大甲特      ,0,0,0,0,0,0,0,0,0,"-100,000",0,"100,000","-100,000",0,0,0,"-100,000",2019-11-22,,
3702A,大聯大甲特      ,"1,000",0,"1,000",0,0,0,0,0,0,"179,000","279,000","100,000","179,000",0,0,0,"180,000",2019-11-25,,
3702A,大聯大甲特      ,0,0,0,0,0,0,0,0,0,"-20,000","80,000","100,000","-20,000",0,0,0,"-20,000",2019-11-26,,
3702A,大聯大甲特      ,"1,000",0,"1,000",0,0,0,0,0,0,"-44,000","56,000","100,000","-44,000",0,0,0,"-43,000",2019-11-27,,
3702A,大聯大甲特      ,0,"4,288","-4,288",0,0,0,0,0,0,"-119,000",0,"119,000","-119,000",0,0,0,"-123,288",2019-11-28,,
3702A,大聯大甲特      ,"1,000","70,000","-69,000",0,0,0,"354,000",0,"354,000","81,000","81,000",0,"81,000",0,0,0,"366,000",2019-11-29,,
3702A,大聯大甲特      ,0,0,0,0,0,0,0,0,0,"50,000","50,000",0,"50,000",0,0,0,"50,000",2019-12-04,,
3702A,大聯大甲特      ,"6,000",0,"6,000",0,0,0,0,0,0,"41,000","41,000",0,"41,000",0,0,0,"47,000",2019-12-05,,
3702A,大聯大甲特      ,"7,000",0,"7,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"7,000",2019-12-09,,
3702A,大聯大甲特      ,"2,000",0,"2,000",0,0,0,"130,000",0,"130,000","120,000","120,000",0,"120,000",0,0,0,"252,000",2019-12-11,,
3702A,大聯大甲特      ,0,0,0,0,0,0,"130,000",0,"130,000","200,000","200,000",0,"200,000",0,0,0,"330,000",2019-12-12,,
3702A,大聯大甲特      ,0,"359,000","-359,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-359,000",2019-12-13,,
3702A,大聯大甲特      ,860,0,860,0,0,0,0,0,0,0,0,0,0,0,0,0,860,2019-12-16,,
3702A,大聯大甲特      ,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2019-12-24,,
3702A,大聯大甲特      ,0,"30,000","-30,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-30,000",2019-12-30,,
3702A,大聯大甲特      ,0,0,0,0,0,0,0,0,0,"50,000","50,000",0,"50,000",0,0,0,"50,000",2020-01-02,,
3702A,大聯大甲特      ,0,0,0,0,0,0,0,0,0,"50,000","50,000",0,"50,000",0,0,0,"50,000",2020-01-06,,
3702A,大聯大甲特      ,0,0,0,0,0,0,0,0,0,"50,000","50,000",0,"50,000",0,0,0,"50,000",2020-01-08,,
3702A,大聯大甲特      ,0,0,0,0,0,0,0,0,0,"176,000","176,000",0,"176,000",0,0,0,"176,000",2020-01-09,,
