證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,日期
8112A,至上甲特        ,"3,000",0,"3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,000",2022-03-07
8112A,至上甲特        ,0,"1,568","-1,568",0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,568",2022-03-08
8112A,至上甲特        ,461,"4,000","-3,539",0,0,0,0,0,0,0,0,0,0,0,0,0,"-3,539",2022-03-09
8112A,至上甲特        ,0,"3,000","-3,000",0,0,0,0,0,0,"-10,000",0,"10,000","-10,000",0,0,0,"-13,000",2022-03-10
8112A,至上甲特        ,0,"9,000","-9,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-9,000",2022-03-14
8112A,至上甲特        ,0,"16,000","-16,000",0,0,0,0,0,0,"-138,000",0,"138,000","-138,000",0,0,0,"-154,000",2022-03-18
8112A,至上甲特        ,0,0,0,0,0,0,0,0,0,"-3,584",0,"3,584","-3,584",0,0,0,"-3,584",2022-03-23
8112A,至上甲特        ,0,550,-550,0,0,0,0,0,0,0,0,0,0,0,0,0,-550,2022-03-25
8112A,至上甲特        ,"1,000","1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-30
8112A,至上甲特        ,0,0,0,0,0,0,0,0,0,"-60,000",0,"60,000","-60,000",0,0,0,"-60,000",2022-03-31
8112A,至上甲特        ,"4,000","2,112","1,888",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,888",2022-04-06
8112A,至上甲特        ,760,568,192,0,0,0,0,0,0,0,0,0,0,0,0,0,192,2022-04-07
8112A,至上甲特        ,"1,000",0,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000",2022-04-11
8112A,至上甲特        ,"1,000",0,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000",2022-04-13
