證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,日期
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"-47,000",0,0,0,0,"47,000","-47,000","-47,000",2018-08-30
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"-12,000",0,0,0,"47,000","59,000","-12,000","-12,000",2018-08-31
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"59,000",0,0,0,"59,000",0,"59,000","59,000",2018-09-03
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"-47,000",0,0,0,0,"47,000","-47,000","-47,000",2018-09-06
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"-106,000",0,0,0,"47,000","153,000","-106,000","-106,000",2018-09-07
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"-649,000",0,0,0,"153,000","802,000","-649,000","-649,000",2018-09-10
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"546,000",0,0,0,"799,000","253,000","546,000","546,000",2018-09-11
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"-20,000",0,0,0,"253,000","273,000","-20,000","-20,000",2018-09-12
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"-305,000",0,0,0,"273,000","578,000","-305,000","-305,000",2018-09-13
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"238,000",0,0,0,"238,000",0,"238,000","238,000",2018-09-14
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"59,000",0,0,0,"59,000",0,"59,000","59,000",2018-09-17
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"-64,000",0,0,0,0,"64,000","-64,000","-64,000",2018-09-18
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"36,000",0,0,0,"66,000","30,000","36,000","36,000",2018-09-19
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"-15,000",0,0,0,0,"15,000","-15,000","-15,000",2018-09-20
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"-55,000",0,0,0,"16,000","71,000","-55,000","-55,000",2018-09-21
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"429,000",0,0,0,"441,000","12,000","429,000","429,000",2018-09-25
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"-22,000",0,0,0,"2,000","24,000","-22,000","-22,000",2018-09-26
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"23,000",0,0,0,"24,000","1,000","23,000","23,000",2018-09-27
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"-53,000",0,0,0,0,"53,000","-53,000","-53,000",2018-09-28
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"29,000",0,0,0,"53,000","24,000","29,000","29,000",2018-10-01
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"16,000",0,0,0,"24,000","8,000","16,000","16,000",2018-10-02
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"-407,000",0,0,0,"8,000","415,000","-407,000","-407,000",2018-10-03
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"415,000",0,0,0,"415,000",0,"415,000","415,000",2018-10-04
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"-311,000",0,0,0,"11,000","322,000","-311,000","-311,000",2018-10-05
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"269,000",0,0,0,"322,000","53,000","269,000","269,000",2018-10-08
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"47,000",0,0,0,"52,000","5,000","47,000","47,000",2018-10-09
03026P,臺股指群益3C售32,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,"1,000",0,"1,000","1,000",2018-10-11
