證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,日期
03647B,臺股指凱基45熊05,0,0,0,0,0,0,0,0,0,"-10,000",0,0,0,0,"10,000","-10,000","-10,000",2024-05-30
03647B,臺股指凱基45熊05,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,"10,000","9,000","1,000","1,000",2024-06-03
03647B,臺股指凱基45熊05,0,0,0,0,0,0,0,0,0,"-3,000",0,0,0,"8,000","11,000","-3,000","-3,000",2024-06-04
03647B,臺股指凱基45熊05,0,0,0,0,0,0,0,0,0,"6,000",0,0,0,"12,000","6,000","6,000","6,000",2024-06-05
03647B,臺股指凱基45熊05,0,0,0,0,0,0,0,0,0,"-37,000",0,0,0,"5,000","42,000","-37,000","-37,000",2024-06-06
03647B,臺股指凱基45熊05,0,0,0,0,0,0,0,0,0,"4,000",0,0,0,"5,000","1,000","4,000","4,000",2024-06-07
03647B,臺股指凱基45熊05,0,0,0,0,0,0,0,0,0,"-6,000",0,0,0,0,"6,000","-6,000","-6,000",2024-06-11
03647B,臺股指凱基45熊05,0,0,0,0,0,0,0,0,0,"-114,000",0,0,0,"2,000","116,000","-114,000","-114,000",2024-06-12
03647B,臺股指凱基45熊05,0,0,0,0,0,0,0,0,0,"-22,000",0,0,0,"5,000","27,000","-22,000","-22,000",2024-06-13
03647B,臺股指凱基45熊05,0,0,0,0,0,0,0,0,0,"77,000",0,0,0,"110,000","33,000","77,000","77,000",2024-06-14
03647B,臺股指凱基45熊05,0,0,0,0,0,0,0,0,0,"7,000",0,0,0,"13,000","6,000","7,000","7,000",2024-06-17
03647B,臺股指凱基45熊05,0,0,0,0,0,0,0,0,0,"-183,000",0,0,0,"11,000","194,000","-183,000","-183,000",2024-06-18
03647B,臺股指凱基45熊05,0,0,0,0,0,0,0,0,0,"-1,120,000",0,0,0,"73,000","1,193,000","-1,120,000","-1,120,000",2024-06-19
03647B,臺股指凱基45熊05,0,0,0,0,0,0,0,0,0,"595,000",0,0,0,"1,094,000","499,000","595,000","595,000",2024-06-20
03647B,臺股指凱基45熊05,0,0,0,0,0,0,0,0,0,"-203,000",0,0,0,"178,000","381,000","-203,000","-203,000",2024-06-21
03647B,臺股指凱基45熊05,0,0,0,0,0,0,0,0,0,"381,000",0,0,0,"616,000","235,000","381,000","381,000",2024-06-24
03647B,臺股指凱基45熊05,0,0,0,0,0,0,0,0,0,"-22,000",0,0,0,"5,000","27,000","-22,000","-22,000",2024-06-25
03647B,臺股指凱基45熊05,0,0,0,0,0,0,0,0,0,"-388,000",0,0,0,"149,000","537,000","-388,000","-388,000",2024-06-26
