證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,日期
1308,亞聚            ,"15,000","61,000","-46,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"-45,000",2018-01-02
1308,亞聚            ,"150,000","38,000","112,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"112,000",2018-01-03
1308,亞聚            ,"223,000","50,000","173,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"173,000",2018-01-04
1308,亞聚            ,"103,000","6,000","97,000",0,0,0,0,0,0,"2,000","2,000",0,"2,000",0,0,0,"99,000",2018-01-05
1308,亞聚            ,"123,000","63,000","60,000",0,0,0,0,0,0,"5,000","7,000","2,000","5,000",0,0,0,"65,000",2018-01-08
1308,亞聚            ,"45,000","55,000","-10,000",0,0,0,0,0,0,"-11,000",0,"11,000","-11,000",0,0,0,"-21,000",2018-01-09
1308,亞聚            ,"22,000","74,000","-52,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-52,000",2018-01-10
1308,亞聚            ,"18,000","51,000","-33,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-33,000",2018-01-11
1308,亞聚            ,"81,000","78,000","3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,000",2018-01-12
1308,亞聚            ,"25,000","38,000","-13,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-13,000",2018-01-15
1308,亞聚            ,"79,000","106,000","-27,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-27,000",2018-01-16
1308,亞聚            ,"112,000","74,000","38,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"38,000",2018-01-17
1308,亞聚            ,0,"173,000","-173,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-173,000",2018-01-18
1308,亞聚            ,"93,000","60,000","33,000",0,0,0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,"32,000",2018-01-19
1308,亞聚            ,"57,000","227,000","-170,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-170,000",2018-01-22
1308,亞聚            ,"64,000","234,463","-170,463",0,0,0,0,0,0,0,0,0,0,0,0,0,"-170,463",2018-01-23
1308,亞聚            ,"88,000","98,000","-10,000",0,0,0,0,0,0,"-2,000",0,"2,000","-2,000",0,0,0,"-12,000",2018-01-24
1308,亞聚            ,"32,000","10,000","22,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"22,000",2018-01-25
1308,亞聚            ,"56,000","69,000","-13,000",0,0,0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,"-14,000",2018-01-26
1308,亞聚            ,"11,000","24,000","-13,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-13,000",2018-01-29
1308,亞聚            ,"58,000","39,000","19,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"19,000",2018-01-30
1308,亞聚            ,"7,000","83,000","-76,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-76,000",2018-01-31
1308,亞聚            ,"1,000","64,000","-63,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-63,000",2018-02-01
1308,亞聚            ,"20,000","62,000","-42,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-42,000",2018-02-02
1308,亞聚            ,"72,000","63,000","9,000",0,0,0,0,0,0,"-4,000","1,000","5,000","-4,000",0,0,0,"5,000",2018-02-05
1308,亞聚            ,"116,000","143,000","-27,000",0,0,0,0,0,0,"-2,000",0,"2,000","-2,000",0,0,0,"-29,000",2018-02-06
1308,亞聚            ,"49,000","176,000","-127,000",0,0,0,"2,000",0,"2,000","-1,000",0,"1,000","-1,000",0,0,0,"-126,000",2018-02-07
1308,亞聚            ,"87,000","60,000","27,000",0,0,0,"1,000",0,"1,000",0,0,0,0,0,0,0,"28,000",2018-02-08
1308,亞聚            ,"110,000","162,000","-52,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-52,000",2018-02-09
1308,亞聚            ,"7,000","38,000","-31,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-31,000",2018-02-12
1308,亞聚            ,"259,000","113,000","146,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"146,000",2018-02-21
1308,亞聚            ,"5,000","26,000","-21,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-21,000",2018-02-22
1308,亞聚            ,"81,000","42,000","39,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"39,000",2018-02-23
1308,亞聚            ,"4,000","60,000","-56,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-56,000",2018-02-26
1308,亞聚            ,"104,000","17,000","87,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"87,000",2018-02-27
1308,亞聚            ,"31,000","34,000","-3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-3,000",2018-03-01
1308,亞聚            ,"11,000","157,000","-146,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-146,000",2018-03-02
1308,亞聚            ,"22,000","144,000","-122,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-122,000",2018-03-05
1308,亞聚            ,"23,000","13,000","10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"10,000",2018-03-06
1308,亞聚            ,"4,000","7,000","-3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-3,000",2018-03-07
1308,亞聚            ,"12,000","9,000","3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,000",2018-03-08
1308,亞聚            ,"23,000","5,000","18,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"18,000",2018-03-09
1308,亞聚            ,"85,000","7,000","78,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"78,000",2018-03-12
1308,亞聚            ,"233,000","11,000","222,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"222,000",2018-03-13
1308,亞聚            ,"18,000","7,000","11,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"11,000",2018-03-14
1308,亞聚            ,"28,000","4,002","23,998",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"24,998",2018-03-15
1308,亞聚            ,"438,000","240,000","198,000",0,0,0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,"197,000",2018-03-16
1308,亞聚            ,"9,000","24,000","-15,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"-14,000",2018-03-19
1308,亞聚            ,"29,000","17,000","12,000",0,0,0,0,0,0,"8,000","8,000",0,"8,000",0,0,0,"20,000",2018-03-20
1308,亞聚            ,"60,001","57,000","3,001",0,0,0,0,0,0,"8,000","8,000",0,"8,000",0,0,0,"11,001",2018-03-21
1308,亞聚            ,"20,000","7,000","13,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"13,000",2018-03-22
1308,亞聚            ,"71,000","12,000","59,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"59,000",2018-03-23
1308,亞聚            ,"4,000","31,000","-27,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-27,000",2018-03-26
1308,亞聚            ,"70,000",0,"70,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"70,000",2018-03-27
1308,亞聚            ,"42,000","8,000","34,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"34,000",2018-03-28
1308,亞聚            ,"20,000",0,"20,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"20,000",2018-03-29
1308,亞聚            ,"47,000",0,"47,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"47,000",2018-03-30
1308,亞聚            ,"1,000",0,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000",2018-04-02
1308,亞聚            ,"60,000","134,000","-74,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-74,000",2018-04-03
1308,亞聚            ,"62,000","1,000","61,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"61,000",2018-04-09
1308,亞聚            ,"143,000","76,000","67,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"67,000",2018-04-10
1308,亞聚            ,"22,000","9,000","13,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"14,000",2018-04-11
1308,亞聚            ,"40,000","11,000","29,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"29,000",2018-04-12
1308,亞聚            ,"28,000","5,000","23,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"23,000",2018-04-13
1308,亞聚            ,"5,000","39,000","-34,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-34,000",2018-04-16
1308,亞聚            ,"20,000","137,000","-117,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-117,000",2018-04-17
